,tracks,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,url,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_url,genres,popularity,track_url,created_year,rank
29,CAFUNE,Kano,0.7,0.855,7.0,-5.948,0.0,0.0467,0.0681,6.33e-06,0.0788,0.835,139.956,audio_features,https://open.spotify.com/track/1Z5mpuJhOSpN88g8hzFY9p,1Z5mpuJhOSpN88g8hzFY9p,spotify:track:1Z5mpuJhOSpN88g8hzFY9p,https://api.spotify.com/v1/tracks/1Z5mpuJhOSpN88g8hzFY9p,https://api.spotify.com/v1/audio-analysis/1Z5mpuJhOSpN88g8hzFY9p,267227.0,4.0,https://open.spotify.com/artist/24HASvYQG1OvEFRWVWmOfx,"['anime', 'denpa-kei']",44,https://open.spotify.com/embed/track/1Z5mpuJhOSpN88g8hzFY9p,2022,30
30,blaaaw,lol,0.621,0.94,5.0,-2.848,1.0,0.0802,0.00832,0.0,0.331,0.741,137.019,audio_features,https://open.spotify.com/track/0jIKFqDDZmBfxJUxciU84f,0jIKFqDDZmBfxJUxciU84f,spotify:track:0jIKFqDDZmBfxJUxciU84f,https://api.spotify.com/v1/tracks/0jIKFqDDZmBfxJUxciU84f,https://api.spotify.com/v1/audio-analysis/0jIKFqDDZmBfxJUxciU84f,206706.0,4.0,https://open.spotify.com/artist/2nKN6scty9Yb9G4VlT6B8z,['japanese teen pop'],37,https://open.spotify.com/embed/track/0jIKFqDDZmBfxJUxciU84f,2022,31
31,Freaky boy,I Don't Like Mondays.,0.734,0.808,6.0,-6.072,1.0,0.0606,0.00493,0.000555,0.0754,0.888,127.028,audio_features,https://open.spotify.com/track/0zyPsNt9twLcAmz5BGwPIS,0zyPsNt9twLcAmz5BGwPIS,spotify:track:0zyPsNt9twLcAmz5BGwPIS,https://api.spotify.com/v1/tracks/0zyPsNt9twLcAmz5BGwPIS,https://api.spotify.com/v1/audio-analysis/0zyPsNt9twLcAmz5BGwPIS,234387.0,4.0,https://open.spotify.com/artist/2DKISYy7EvTDO7eJHBK6yF,"['j-pop', 'j-rock', 'japanese r&b']",50,https://open.spotify.com/embed/track/0zyPsNt9twLcAmz5BGwPIS,2022,32
32,ツバサ,saji,0.522,0.963,8.0,-4.51,1.0,0.0496,0.000335,4.32e-05,0.312,0.77,144.019,audio_features,https://open.spotify.com/track/73ZQ8OLY0MrLc5I2X9Pa5n,73ZQ8OLY0MrLc5I2X9Pa5n,spotify:track:73ZQ8OLY0MrLc5I2X9Pa5n,https://api.spotify.com/v1/tracks/73ZQ8OLY0MrLc5I2X9Pa5n,https://api.spotify.com/v1/audio-analysis/73ZQ8OLY0MrLc5I2X9Pa5n,222120.0,4.0,https://open.spotify.com/artist/1jA2LiMI5yb5QOSpVI51fC,[],33,https://open.spotify.com/embed/track/73ZQ8OLY0MrLc5I2X9Pa5n,2022,33
33,A.M.D.K.J.,SCANDAL,0.339,0.909,8.0,-3.497,1.0,0.0584,8.42e-05,0.00105,0.369,0.522,179.936,audio_features,https://open.spotify.com/track/6FzNtQS3t80Obtzq84nUQp,6FzNtQS3t80Obtzq84nUQp,spotify:track:6FzNtQS3t80Obtzq84nUQp,https://api.spotify.com/v1/tracks/6FzNtQS3t80Obtzq84nUQp,https://api.spotify.com/v1/audio-analysis/6FzNtQS3t80Obtzq84nUQp,216006.0,4.0,https://open.spotify.com/artist/7hTZwqQILVH4bAbN67CeEz,"['anime', 'idol rock', 'j-pop', 'j-poprock']",48,https://open.spotify.com/embed/track/6FzNtQS3t80Obtzq84nUQp,2022,34
34,Phoenix,Da-iCE,0.742,0.856,2.0,-3.217,1.0,0.13,0.0667,0.0,0.111,0.823,126.025,audio_features,https://open.spotify.com/track/5oEKTqhYoG0diXTfa6RzQy,5oEKTqhYoG0diXTfa6RzQy,spotify:track:5oEKTqhYoG0diXTfa6RzQy,https://api.spotify.com/v1/tracks/5oEKTqhYoG0diXTfa6RzQy,https://api.spotify.com/v1/audio-analysis/5oEKTqhYoG0diXTfa6RzQy,208667.0,4.0,https://open.spotify.com/artist/71UIOLnsacxQHlU55TvfiH,"['j-pop', 'j-pop boy group']",58,https://open.spotify.com/embed/track/5oEKTqhYoG0diXTfa6RzQy,2022,35
35,留学生,Monkey Majik,0.65,0.878,9.0,-4.768,0.0,0.0451,0.148,0.0,0.0499,0.781,120.001,audio_features,https://open.spotify.com/track/6Fv9M9nUKvuMD7roafIm8j,6Fv9M9nUKvuMD7roafIm8j,spotify:track:6Fv9M9nUKvuMD7roafIm8j,https://api.spotify.com/v1/tracks/6Fv9M9nUKvuMD7roafIm8j,https://api.spotify.com/v1/audio-analysis/6Fv9M9nUKvuMD7roafIm8j,214773.0,4.0,https://open.spotify.com/artist/6U2dgcU46Iy9pF3RQBj5hG,"['j-pop', 'j-poprock', 'j-rock']",50,https://open.spotify.com/embed/track/6Fv9M9nUKvuMD7roafIm8j,2022,36
36,I Love...,Official HIGE DANdism,0.54,0.706,9.0,-5.235,1.0,0.0543,0.0171,0.0,0.225,0.385,172.021,audio_features,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb,4pRqq3MwcqitKqNO8rOrOb,spotify:track:4pRqq3MwcqitKqNO8rOrOb,https://api.spotify.com/v1/tracks/4pRqq3MwcqitKqNO8rOrOb,https://api.spotify.com/v1/audio-analysis/4pRqq3MwcqitKqNO8rOrOb,282027.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/4pRqq3MwcqitKqNO8rOrOb,2022,37
37,Yesterday,Official HIGE DANdism,0.541,0.8,6.0,-3.687,1.0,0.0382,0.0442,0.0,0.398,0.56,129.939,audio_features,https://open.spotify.com/track/43MGiVpukiSOnm7RdltAtZ,43MGiVpukiSOnm7RdltAtZ,spotify:track:43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/tracks/43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/audio-analysis/43MGiVpukiSOnm7RdltAtZ,299164.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/43MGiVpukiSOnm7RdltAtZ,2022,38
38,Shukumei,Official HIGE DANdism,0.547,0.577,5.0,-6.087,1.0,0.0336,0.0152,0.0,0.109,0.494,164.032,audio_features,https://open.spotify.com/track/2K74OeuU2y0RN746g9EizC,2K74OeuU2y0RN746g9EizC,spotify:track:2K74OeuU2y0RN746g9EizC,https://api.spotify.com/v1/tracks/2K74OeuU2y0RN746g9EizC,https://api.spotify.com/v1/audio-analysis/2K74OeuU2y0RN746g9EizC,280856.0,4.0,https://open.spotify.com/artist/5Vo1hnCRmCM6M4thZCInCj,"['anime', 'anime rock', 'j-pop']",71,https://open.spotify.com/embed/track/2K74OeuU2y0RN746g9EizC,2022,39
